Connection Count,Handshake Duration (s),Version 1 Timestamp (s),Version 1 Bytes,Version 2 Timestamp (s),Version 2 Bytes,Verack 1 Timestamp (s),Verack 1 Bytes,Verack 2 Timestamp (s),Verack 2 Bytes
1,0.050717830657959,1661034360.13523,242,1661034360.1374,242,1661034360.13803,90,1661034360.18595,90
2,0.071052074432373,1661034369.04732,242,1661034369.04917,242,1661034369.04964,90,1661034369.11838,90
3,0.023381948471069,1661034371.65503,242,1661034371.65678,242,1661034371.65721,90,1661034371.67841,114
4,0.031667947769165,1661034386.86527,242,1661034386.86712,242,1661034386.86727,90,1661034386.89694,90
5,0.04600191116333,1661034387.73469,242,1661034387.73631,242,1661034387.73649,90,1661034387.78069,114
6,0.049697875976563,1661034388.61762,242,1661034388.6195,242,1661034388.61967,90,1661034388.66732,90
7,0.03282904624939,1661034389.49207,242,1661034389.49367,242,1661034389.49391,90,1661034389.52489,90
8,0.008296966552734,1661034390.35688,242,1661034390.35846,242,1661034390.35864,90,1661034390.36518,90
9,0.027301073074341,1661034391.23802,242,1661034391.23976,242,1661034391.23995,90,1661034391.26532,114
10,0.023880958557129,1661034392.13108,242,1661034392.13294,242,1661034392.13318,90,1661034392.15496,90
11,0.009761095046997,1661034392.99689,242,1661034392.99856,242,1661034392.99876,90,1661034393.00665,90
12,0.045418977737427,1661034393.85789,242,1661034393.85943,242,1661034393.85958,90,1661034393.90331,90
13,0.020066022872925,1661034394.72324,242,1661034394.72532,242,1661034394.72544,90,1661034394.7433,90
14,0.026883125305176,1661034395.60479,242,1661034395.60669,242,1661034395.60685,90,1661034395.63167,90
15,0.03231692314148,1661034396.24105,242,1661034396.24279,242,1661034396.24293,90,1661034396.27336,90
16,0.037225008010864,1661034396.81036,242,1661034396.81199,242,1661034396.81216,90,1661034396.84758,90
17,0.039214849472046,1661034397.68389,242,1661034397.68557,242,1661034397.68574,90,1661034397.72311,90
18,0.01354193687439,1661034398.5452,242,1661034398.54688,242,1661034398.54699,90,1661034398.55874,90
19,0.040469884872437,1661034399.41377,242,1661034399.41543,242,1661034399.41567,90,1661034399.45424,90
20,0.041271924972534,1661034400.28965,242,1661034400.29179,242,1661034400.29208,90,1661034400.33093,114
