Connection Count,Handshake Duration (s),TCP Ending Handshake Timestamp (s),Version 1 Timestamp (s),Version 1 Bytes,Version 2 Timestamp (s),Version 2 Bytes,Verack 1 Timestamp (s),Verack 1 Bytes,Verack 2 Timestamp (s),Verack 2 Bytes
1,0.040133953094483,1661102737.16299,1661102737.12286,168,1661102737.12344,168,1661102737.12361,90,1661102737.16299,114
2,0.020564079284668,1661102742.68551,1661102742.66494,168,1661102742.66534,168,1661102742.6655,90,1661102742.68551,90
3,0.045873165130615,1661102748.2477,1661102748.20183,168,1661102748.20216,168,1661102748.2023,90,1661102748.2477,114
4,0.009989023208618,1661102753.75956,1661102753.74957,168,1661102753.7499,168,1661102753.75007,90,1661102753.75956,114
5,0.001237869262695,1661102759.29125,1661102759.29001,168,1661102759.29048,168,1661102759.29059,114,1661102759.29125,90
6,0.019421815872192,1661102764.84491,1661102764.82549,168,1661102764.82596,168,1661102764.82609,114,1661102764.84491,90
7,0.049040079116821,1661102770.41571,1661102770.36667,168,1661102770.36718,168,1661102770.36737,90,1661102770.41571,114
8,0.042901039123535,1661102775.94385,1661102775.90095,168,1661102775.90129,168,1661102775.90141,114,1661102775.94385,114
9,0.043767929077149,1661102781.50111,1661102781.45734,168,1661102781.45776,168,1661102781.45798,90,1661102781.50111,114
10,0.026393890380859,1661102787.01449,1661102786.9881,168,1661102786.98872,168,1661102786.98902,90,1661102787.01449,90
11,0.019437074661255,1661102792.59796,1661102792.57852,168,1661102792.57897,168,1661102792.57912,114,1661102792.59796,90
12,0.015608072280884,1661102798.14683,1661102798.13122,168,1661102798.13173,168,1661102798.1319,90,1661102798.14683,90
13,0.035665035247803,1661102803.69096,1661102803.65529,168,1661102803.65575,168,1661102803.65591,90,1661102803.69096,114
14,0.039721012115479,1661102809.28393,1661102809.24421,168,1661102809.24469,168,1661102809.24482,114,1661102809.28393,90
15,0.045684099197388,1661102814.84669,1661102814.80101,168,1661102814.80136,168,1661102814.80147,114,1661102814.84669,90
16,0.011614799499512,1661102820.3395,1661102820.32788,168,1661102820.32832,168,1661102820.32853,90,1661102820.3395,90
17,0.041759014129639,1661102825.89919,1661102825.85744,168,1661102825.85787,168,1661102825.85805,90,1661102825.89919,114
18,0.015632152557373,1661102831.4051,1661102831.38946,168,1661102831.39006,168,1661102831.39032,90,1661102831.4051,114
19,0.047433137893677,1661102836.98193,1661102836.9345,168,1661102836.9351,168,1661102836.93528,90,1661102836.98193,114
20,0.017863988876343,1661102842.48888,1661102842.47102,168,1661102842.4715,168,1661102842.47163,114,1661102842.48888,90
21,0.022812128067017,1661102848.03563,1661102848.01282,168,1661102848.0132,168,1661102848.01337,90,1661102848.03563,90
22,0.009000062942505,1661102853.53694,1661102853.52794,168,1661102853.52848,168,1661102853.52866,90,1661102853.53694,90
